 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
151.25.133.153 - - [05/Nov/2017 21:21:50] "GET /static/assets/css/core.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:50] "GET /static/assets/css/components.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/css/colors.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/loaders/pace.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/core/libraries/jquery.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/core/libraries/bootstrap.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/loaders/blockui.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/ui/nicescroll.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/ui/drilldown.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/ui/fab.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/visualization/d3/d3.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/visualization/d3/d3_tooltip.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/forms/styling/switchery.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/forms/styling/uniform.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/forms/selects/bootstrap_multiselect.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/pickers/daterangepicker.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/ui/moment/moment.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/core/app.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/elezioni_chart.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/images/matteo_renzi_48581.jpg HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/demo_data/dashboard/monthly_sales.json HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/css/icons/icomoon/fonts/icomoon.woff?3p0rtw HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:52] "GET /favicon.ico HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 21:21:52] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 21:21:52] "GET /apple-touch-icon.png HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 21:22:43] "GET / HTTP/1.1" 200 -
